"year";"total_sales"
1993;290368964.83
1994;74361197.61
1996;339444791.91
1997;376209436.68
1998;393854947.45
1999;422896118.78
2000;467405650.63
2001;391098277.26
2002;363890383.4
2003;370318465.86
2004;389201883.18
2005;431293576.64
2006;471486766.65
2007;464929535.12
2008;496368768.84
2009;429110274.96
2010;478276034.95
2011;523871797.12
2012;540478080.22
2013;568629388.75
2014;607231555.03
2015;619844589.89
2016;614912853.77
2017;632009964.43
2018;673402656.55
2019;703586385.08
2020;210529399.62
2021;401443946.2
2022;687151318.62
2023;742335462.05
2024;177172035.13
